Riding,Liberal,PC,NDP,Green,Other,Winner,Second,Margin,Polls_Reporting,Registered_Electors,Voter_Turnout,Total_Votes,Votes_Liberal,Votes_PC,Votes_NDP,Votes_Green,Votes_Other
Ottawa South,0.40,0.29,0.27,0.03,0.01,Liberal,PC,0.10,1,90108,0.58,52425,20781,15319,14249,1620,456
Ottawa West-Nepean,0.29,0.33,0.32,0.04,0.02,PC,NDP,0.00,1,86829,0.58,50543,14809,16588,16416,1936,794
Ottawa-Vanier,0.43,0.21,0.30,0.04,0.02,Liberal,NDP,0.13,1,90660,0.53,47959,20555,10254,14234,1952,964
Oxford,0.07,0.56,0.30,0.04,0.03,PC,NDP,0.25,1,86877,0.60,52300,3619,29152,15915,2249,1370
Parkdale-High Park,0.17,0.18,0.59,0.05,0.01,NDP,PC,0.41,1,83996,0.65,54539,9261,9822,32407,2541,507
Parry Sound-Muskoka,0.09,0.48,0.22,0.20,0.01,PC,NDP,0.26,1,76385,0.62,47152,4069,22661,10392,9440,585
Perth-Wellington,0.11,0.51,0.31,0.06,0.02,PC,NDP,0.20,1,75420,0.62,46843,5064,23736,14386,2745,913
Peterborough-Kawartha,0.25,0.38,0.34,0.03,0.01,PC,NDP,0.04,1,93522,0.65,61163,15028,22936,20747,2055,398
Pickering-Uxbridge,0.20,0.42,0.32,0.04,0.01,PC,NDP,0.10,1,88375,0.60,53193,10851,22447,17027,2106,761
Renfrew-Nipissing-Pembroke,0.10,0.69,0.17,0.03,0.01,PC,NDP,0.52,1,77758,0.62,48202,4700,33351,8064,1436,646
Richmond Hill,0.28,0.51,0.17,0.03,0.01,PC,Liberal,0.23,1,82026,0.53,43367,12108,22221,7490,1249,299
Sarnia-Lambton,0.04,0.53,0.37,0.04,0.02,PC,NDP,0.15,1,82566,0.62,50819,2226,26812,19006,1855,920
Sault Ste. Marie,0.10,0.42,0.41,0.03,0.04,PC,NDP,0.01,1,58616,0.55,32116,3199,13498,13084,1044,1291
Scarborough Centre,0.22,0.38,0.33,0.02,0.04,PC,NDP,0.05,1,73345,0.53,39100,8684,15022,13032,903,1458
Scarborough North,0.22,0.50,0.25,0.02,0.01,PC,NDP,0.25,1,65902,0.51,33511,7520,16813,8321,543,318
Scarborough Southwest,0.19,0.31,0.46,0.03,0.02,NDP,PC,0.14,1,75564,0.57,43396,8215,13592,19750,1146,694
Scarborough-Agincourt,0.28,0.50,0.17,0.02,0.02,PC,Liberal,0.22,1,70587,0.52,36889,10447,18581,6433,634,789
Scarborough-Guildwood,0.33,0.33,0.28,0.02,0.03,Liberal,PC,0.00,1,66354,0.54,35878,11965,11883,9909,875,1241
Scarborough-Rouge Park,0.21,0.39,0.36,0.02,0.02,PC,NDP,0.02,1,74008,0.57,42014,8785,16222,15260,1013,731
Simcoe North,0.18,0.47,0.28,0.07,0.01,PC,NDP,0.19,1,89063,0.61,54382,9642,25532,15276,3616,315
Simcoe-Grey,0.14,0.56,0.22,0.07,0.01,PC,NDP,0.34,1,104117,0.59,60950,8771,34089,13446,4193,451
Spadina-Fort York,0.24,0.22,0.50,0.04,0.01,NDP,Liberal,0.26,1,86734,0.57,49681,11769,10786,24677,1818,636
St. Catharines,0.25,0.34,0.37,0.04,0.02,NDP,PC,0.03,1,87746,0.59,51647,12669,17353,18908,1921,790
Stormont-Dundas-South Glengarry,0.12,0.62,0.22,0.04,0.01,PC,NDP,0.40,1,78642,0.55,43536,5385,26779,9417,1598,361
Sudbury,0.22,0.23,0.48,0.04,0.02,NDP,PC,0.25,1,65850,0.55,36171,8113,8392,17395,1505,767
Thornhill,0.15,0.61,0.19,0.02,0.03,PC,NDP,0.42,1,83126,0.57,47257,6985,28888,9135,1044,1210
Thunder Bay-Atikokan,0.36,0.23,0.36,0.03,0.02,NDP,Liberal,0.00,1,58636,0.55,32520,11710,7551,11792,881,585
Thunder Bay-Superior North,0.40,0.18,0.37,0.03,0.02,Liberal,NDP,0.03,1,54627,0.55,30034,11972,5394,11155,838,676
Timiskaming-Cochrane,0.09,0.22,0.61,0.03,0.05,NDP,PC,0.39,1,50458,0.54,27439,2456,6160,16804,722,1295
Timmins,0.09,0.30,0.57,0.02,0.02,NDP,PC,0.28,1,32253,0.48,15633,1377,4634,8978,274,371
Toronto Centre,0.27,0.14,0.54,0.03,0.02,NDP,Liberal,0.27,1,77100,0.57,44140,11984,6233,23685,1377,856
Toronto-Danforth,0.14,0.16,0.64,0.04,0.01,NDP,PC,0.48,1,80972,0.63,51271,7214,8132,32942,2246,738
Toronto-St. Paul's,0.33,0.26,0.36,0.03,0.01,NDP,Liberal,0.03,1,83206,0.63,52403,17497,13782,18844,1693,592
University-Rosedale,0.22,0.21,0.50,0.05,0.02,NDP,Liberal,0.28,1,81689,0.60,49414,10901,10431,24539,2654,894
Vaughan-Woodbridge,0.32,0.51,0.15,0.02,0.01,PC,Liberal,0.19,1,75471,0.57,42943,13742,21686,6253,971,292
Waterloo,0.12,0.31,0.50,0.05,0.01,NDP,PC,0.19,1,83924,0.64,54097,6578,16976,27314,2613,617
Wellington-Halton Hills,0.13,0.54,0.24,0.09,0.01,PC,NDP,0.30,1,91228,0.64,58623,7492,31656,14087,5065,322
Whitby,0.13,0.46,0.36,0.03,0.01,PC,NDP,0.10,1,94349,0.61,57185,7428,26471,20564,1956,766
Willowdale,0.27,0.44,0.26,0.02,0.02,PC,Liberal,0.17,1,78789,0.52,40584,10816,17731,10422,933,686
Windsor West,0.15,0.28,0.52,0.04,0.01,NDP,PC,0.24,1,88841,0.44,38939,5763,11074,20276,1394,436
Windsor-Tecumseh,0.08,0.27,0.58,0.04,0.02,NDP,PC,0.31,1,89575,0.48,43175,3514,11675,25219,1908,864
York Centre,0.21,0.50,0.23,0.02,0.03,PC,NDP,0.27,1,68321,0.54,36764,7864,18437,8617,842,1004
York South-Weston,0.28,0.33,0.36,0.03,0.01,NDP,PC,0.03,1,73764,0.51,37295,10379,12289,13456,944,231
York-Simcoe,0.14,0.57,0.23,0.05,0.01,PC,NDP,0.34,1,81241,0.56,45495,6183,26050,10655,2193,414
